href,ID,location,ethnicity,sex,age,age group,education,community type,accent
https://search.library.wisc.edu/digital/AC3EVGXDVP7Z2M9A,AK004,"['Juneau', 'Alaska']",White,male,45,(middle-aged),high school,village,West
https://search.library.wisc.edu/digital/AK46XEYP5TWYTQ83,AK006,"['Juneau', 'Alaska']",,,,,,,West
https://search.library.wisc.edu/digital/ATUQ47ZFTOD4JU82,AK008,"['Palmer', 'Alaska']",White,female,72,(old),grade school,village,West
https://search.library.wisc.edu/digital/AN34QJGD42PRYY8K,AK009,"['Anchorage', 'Alaska']",White,male,62,(old),college,small city,West
https://search.library.wisc.edu/digital/AYR42NTU4DSCPK9B,AK010,"['Sitka', 'Alaska']",,,,,,,West
https://search.library.wisc.edu/digital/AVHBZM42V5R7EN8D,AK011,"['Juneau', 'Alaska']",,,,,,,West
https://search.library.wisc.edu/digital/ASTZGR3GEKGCII9C,AK012,"['Anchorage', 'Alaska']",,,,,,,West
https://search.library.wisc.edu/digital/AAHSZZPKUITYE58K,AK013,"['Anchorage', 'Alaska']",,,,,,,West
https://search.library.wisc.edu/digital/AT3D5COR2GKSMJ8L,AL001,"['Jasper', 'Alabama']",Black,female,61,(old),grade school,small city,South
https://search.library.wisc.edu/digital/ARHNOA5UHW7HFD9B,AL002,"['Jasper', 'Alabama']",White,male,62,(old),college,small city,South
https://search.library.wisc.edu/digital/AAWZCSWTQB5WLI8S,AL003,"['Jasper', 'Alabama']",White,male,79,(old),high school,small city,South
https://search.library.wisc.edu/digital/AJQZ4AJXLDWUMQ8S,AL004,"['Jasper', 'Alabama']",White,male,63,(old),college,small city,South
https://search.library.wisc.edu/digital/A67NZF4BRP4DDM8X,AL006,"['Greenville', 'Alabama']",White,female,86,(old),college,village,South
https://search.library.wisc.edu/digital/AUBK2R7DE722NL8N,AL008,"['Tuscaloosa', 'Alabama']",White,female,20,(young),college,small city,South
https://search.library.wisc.edu/digital/A4WE5V54MO6CHH8Z,AL009,"['Mobile', 'Alabama']",White,female,22,(young),college,large city,South
https://search.library.wisc.edu/digital/AWXFRD525ZDVJ69E,AL010,"['Anniston', 'Alabama']",White,male,71,(old),high school,small city,South
https://search.library.wisc.edu/digital/AHLXGEN7JNTK7W86,AL011,"['Oxford', 'Alabama']",,,,,,,South
https://search.library.wisc.edu/digital/APOT6IF6YHO5LK9B,AL012,"['Anniston', 'Alabama']",White,female,61,(old),college,small city,South
https://search.library.wisc.edu/digital/AO3IBFWXGAGW5N8X,AL013,"['Anniston', 'Alabama']",Black,female,55,(middle-aged),some schooling,small city,South
https://search.library.wisc.edu/digital/AXO7XZ74XV4KMW8M,AL014,"['Tuscaloosa', 'Alabama']",Black,female,39,(young),grade school,small city,South
https://search.library.wisc.edu/digital/A57ME4ZFXVP32D8L,AL015,"['Dothan', 'Alabama']",White,female,63,(old),grade school,small city,South
https://search.library.wisc.edu/digital/AW432KX7Q4SG6J9A,AL016,"['Dothan', 'Alabama']",White,male,71,(old),high school,rural,South
https://search.library.wisc.edu/digital/ADAW5VGG7R6D5M8P,AL018,"['Dothan', 'Alabama']",White,female,50,(middle-aged),high school,small city,South
https://search.library.wisc.edu/digital/AIO7YLMYSDEMNR8T,AL019,"['Dickinson', 'Alabama']",White,male,21,(young),college,rural,South
https://search.library.wisc.edu/digital/AIWFR7WMIUJT668X,AL020,"['Mobile', 'Alabama']",White,female,79,(old),high school,large city,South
https://search.library.wisc.edu/digital/A6V3CA2IIDM4R38E,AL021,"['Mobile', 'Alabama']",White,female,72,(old),high school,large city,South
https://search.library.wisc.edu/digital/AMZ3AP427ZO74R8H,AL022,"['Mobile', 'Alabama']",White,male,48,(middle-aged),high school,large city,South
https://search.library.wisc.edu/digital/AC27NUUEKFGDNY8X,AL023,"['Huntsville', 'Alabama']",White,female,66,(old),college,large city,South
https://search.library.wisc.edu/digital/AHL6FMRGFIVUMM8B,AL024,"['Coatopa', 'Alabama']",Black,female,59,(middle-aged),grade school,rural,South
https://search.library.wisc.edu/digital/A2H4CXEIXKB3MD8S,AL025,"['Montgomery', 'Alabama']",White,female,55,(middle-aged),high school,large city,South
https://search.library.wisc.edu/digital/A4PHKAZX7NVJS48T,AL026,"['Montgomery', 'Alabama']",White,male,68,(old),grade school,large city,South
https://search.library.wisc.edu/digital/A6WIKDC26D5VJZ8O,AL027,"['Athens', 'Alabama']",White,female,64,(old),high school,small city,South
https://search.library.wisc.edu/digital/AD22MYCHEPUBQA8H,AL028,"['Athens', 'Alabama']",White,male,77,(old),college,small city,South
https://search.library.wisc.edu/digital/ACEOC56MGWY4QL8H,AL030,"['Bay Minette', 'Alabama']",White,female,62,(old),college,village,South
https://search.library.wisc.edu/digital/AXQGQ4TL5WRFNH8B,AL031,"['Bay Minette', 'Alabama']",White,male,80,(old),high school,village,South
https://search.library.wisc.edu/digital/AK2N7PT4VZYHWR85,AL032,"['Cullman', 'Alabama']",White,male,66,(old),grade school,small city,South
https://search.library.wisc.edu/digital/AKR6O5EAAHOX5P82,AL033,"['Holly Pond', 'Alabama']",White,female,83,(old),grade school,rural,South
https://search.library.wisc.edu/digital/AVZPPZHD4XI63C8B,AL034,"['Russellville', 'Alabama']",White,female,77,(old),grade school,village,South
https://search.library.wisc.edu/digital/AOBZVB4HVEYBCM9B,AL035,"['Russellville', 'Alabama']",White,male,72,(old),grade school,village,South
https://search.library.wisc.edu/digital/A65CWAPIAKDSYZ8B,AL039,"['New Market', 'Alabama']",White,male,51,(middle-aged),grade school,rural,South
https://search.library.wisc.edu/digital/AN4HSBPRN6D4N586,AL041,"['Birmingham', 'Alabama']",White,male,40,(middle-aged),college,large city,South
https://search.library.wisc.edu/digital/AEYKX64H5BJJNS85,AL042,"['Selma', 'Alabama']",White,female,53,(middle-aged),high school,small city,South
https://search.library.wisc.edu/digital/AIZ3H2AP4M3QXF8E,AL043,"['Selma', 'Alabama']",White,male,53,(middle-aged),high school,small city,South
https://search.library.wisc.edu/digital/AOCG7NU5W2W3I78N,AL047,"['Gadsden', 'Alabama']",White,male,81,(old),high school,small city,South
https://search.library.wisc.edu/digital/AQDXPP4QQKK6F48Y,AL048,"['Gadsden', 'Alabama']",White,female,58,(middle-aged),high school,small city,South
https://search.library.wisc.edu/digital/AF4KUALKPWAGQS8H,AL052,"['Boaz', 'Alabama']",White,male,69,(old),high school,village,South
https://search.library.wisc.edu/digital/A5RYRAS5YBCMBU85,AL056,"['Lafayette', 'Alabama']",White,male,60,(old),high school,village,South
https://search.library.wisc.edu/digital/AWE3OSVS5GXCNB9A,AL059,"['Birmingham', 'Alabama']",Black,male,60,(old),grade school,large city,South
https://search.library.wisc.edu/digital/AL57VLQWIVL4QR8H,AL061,"['Tuskegee', 'Alabama']",Black,female,24,(young),college,small city,South
https://search.library.wisc.edu/digital/A6W2IPR5EQJNVM8M,AL062,"['Tuskegee', 'Alabama']",Black,male,64,(old),grade school,small city,South
https://search.library.wisc.edu/digital/AL2UYQ466XTDYU8I,AR010,"['Helena', 'Arkansas']",White,female,62,(old),high school,small city,South
https://search.library.wisc.edu/digital/AA4FA7EHGTKIT58Q,AR015,"['Star City', 'Arkansas']",White,male,75,(old),grade school,rural,South
https://search.library.wisc.edu/digital/AVQ5CUXYJS6SGK8I,AR032,"['Stuttgart', 'Arkansas']",White,female,79,(old),high school,rural,South
https://search.library.wisc.edu/digital/AHJ444MCRRERZZ9C,AR033,"['Stuttgart', 'Arkansas']",,,,,,,South
https://search.library.wisc.edu/digital/AKHXQWFIA5VQ3K8L,AR036,"['Heber Springs', 'Arkansas']",White,male,87,(old),high school,village,South
https://search.library.wisc.edu/digital/ANXXHOCYRJNKPM8P,AR041,"['Prairie Grove', 'Arkansas']",White,female,67,(old),high school,rural,South
https://search.library.wisc.edu/digital/AOR5MSIVSRDYM68C,AR042,"['Blue Cane', 'Arkansas']",White,male,20,(young),college,rural,South
https://search.library.wisc.edu/digital/AOWG7VC427SPKS9C,AR047,"['Clarksville', 'Arkansas']",White,male,68,(old),grade school,village,South
https://search.library.wisc.edu/digital/AVBBCY4IJFESD48X,AR050,"['Cale', 'Arkansas']",White,male,55,(middle-aged),grade school,rural,South
https://search.library.wisc.edu/digital/AEUMEZUO3P3FCB8F,AR051,"['Murfreesboro', 'Arkansas']",White,male,70,(old),grade school,rural,South
https://search.library.wisc.edu/digital/AN23SYH7LAA4HL9E,AR052,"['Magnolia', 'Arkansas']",White,female,66,(old),college,village,South
https://search.library.wisc.edu/digital/AP5DZ47TQAWZCR85,AR055,"['Monticello', 'Arkansas']",White,male,84,(old),high school,village,South
https://search.library.wisc.edu/digital/ACRT3NRB5PZ3SE8D,AR056,"['Little Rock', 'Arkansas']",White,male,59,(middle-aged),grade school,large city,South
