href,ID,location,ethnicity,sex,age,age group,education,community type
https://search.library.wisc.edu/digital/ASHI6FIDIN4INS8Z,LA011,"['Jonesville', 'Louisiana']",White,female,67,(old),college,rural
https://search.library.wisc.edu/digital/ASHV53YKQVLDJC8H,MI100,"['Pentwater', 'Michigan']",White,female,77,(old),college,village
https://search.library.wisc.edu/digital/ASHZ25NDDBPS658T,VA065,"['Warrenton', 'Virginia']",White,female,45,(middle-aged),high school,village
https://search.library.wisc.edu/digital/ASIBQTYGL63OSR8K,NV008,"['Carson City', 'Nevada']",White,male,83,(old),grade school,rural
https://search.library.wisc.edu/digital/ASJ2MQPD2C6WIA9B,PA131,"['Meadville', 'Pennsylvania']",White,female,69,(old),college,small city
https://search.library.wisc.edu/digital/ASK62HT2ZS2RAT84,CA090,"['El Centro', 'California']",White,male,74,(old),grade school,village
https://search.library.wisc.edu/digital/ASKF274E5CN5V69E,PA042,"['Lehighton', 'Pennsylvania']",White,male,65,(old),high school,village
https://search.library.wisc.edu/digital/ASKIHV474QGS4T8N,NY247,"['Brooklyn', 'New York']",White,male,42,(middle-aged),high school,urban
https://search.library.wisc.edu/digital/ASKPZ7ZEORXKCD8A,TN010,"['Telford', 'Tennessee']",White,male,51,(middle-aged),college,rural
https://search.library.wisc.edu/digital/ASLC7NDER4ORWL9C,IL085,"['Pana', 'Illinois']",White,male,45,(middle-aged),some college,village
https://search.library.wisc.edu/digital/ASM3KLZG2HL3OI84,GA036,"['Cairo', 'Georgia']",White,male,68,(old),college,village
https://search.library.wisc.edu/digital/ASNGS7R5PMUSAY8P,NY090,"['Queens', 'New York']",White,female,75,(old),high school,urban
https://search.library.wisc.edu/digital/ASO3QYG2OPPGPB8B,CA172,"['Crescent City', 'California']",,,,,,
https://search.library.wisc.edu/digital/ASOVPXGYVVRAJN9C,NE007,"['Scottsbluff', 'Nebraska']",White,female,62,(old),high school,small city
https://search.library.wisc.edu/digital/AQ7QSFJKDBX5QN9A,TX062,"['Dime Box', 'Texas']",White,female,74,(old),high school,rural
https://search.library.wisc.edu/digital/AQADD3BLASXR4T8L,CA099,"['Cloverdale', 'California']",White,female,73,(old),high school,village
https://search.library.wisc.edu/digital/AQBAS3Z6B6H5EP8P,TN052,"['Brownsville', 'Tennessee']",Black,female,78,(old),grade school,village
https://search.library.wisc.edu/digital/AQBXTUGEBHIHDL87,MI032,"['Calumet', 'Michigan']",White,male,31,(young),high school,village
https://search.library.wisc.edu/digital/AQCGQMKDZXDZSO8V,NC072,"['Salisbury', 'North Carolina']",White,male,65,(old),some high school,small city
https://search.library.wisc.edu/digital/AQD4UEHPUDSPDR9A,KY013,"['Falls of Rough', 'Kentucky']",White,male,74,(old),grade school,rural
https://search.library.wisc.edu/digital/AQD63DL5KJOD7P9E,WI022,"['Janesville', 'Wisconsin']",White,male,80,(old),6th grade,small city
https://search.library.wisc.edu/digital/AQDXPP4QQKK6F48Y,AL048,"['Gadsden', 'Alabama']",White,female,58,(middle-aged),high school,small city
https://search.library.wisc.edu/digital/AQE6UGBXU55O2W8E,FL027,"['Bartow', 'Florida']",White,male,69,(old),college,village
https://search.library.wisc.edu/digital/AQEPQZLML4BABM8B,NY030,"['Potsdam', 'New York']",White,female,68,(old),college,village
https://search.library.wisc.edu/digital/AQF3KACG2GWS5E8X,CA201,"['Mariposa', 'California']",White,female,72,(old),college,rural
https://search.library.wisc.edu/digital/AQF5BGGS7IBLCM8P,MI046,"['Ontonagon', 'Michigan']",White,female,59,(middle-aged),high school,village
https://search.library.wisc.edu/digital/AQGNEMJBS5SLAJ84,OH091,"['Dayton', 'Ohio']",White,female,22,(young),high school,large city
https://search.library.wisc.edu/digital/AQHPOU7CTOAPW59D,MN001,"['Virginia', 'Minnesota']",White,male,57,(middle-aged),high school,small city
https://search.library.wisc.edu/digital/AQHYSC5WRHNT229D,MS061,"['Oxford', 'Mississippi']",Black,male,70,(old),some schooling,village
https://search.library.wisc.edu/digital/AQI3T27KEK4DBW8N,WA016,"['Port Townsend', 'Washington']",White,male,70,(old),college,village
