href,ID,location,ethnicity,sex,age,age group,education,community type
https://search.library.wisc.edu/digital/AM3TQCPL623CMB85,GA072,"['Dillard', 'Georgia']",White,male,58,(middle-aged),grade school,rural
https://search.library.wisc.edu/digital/AM4X3OC33J6Z2C8Y,MD003,"['Baltimore', 'Maryland']",White,female,73,(old),high school,large city
https://search.library.wisc.edu/digital/AM53HN6SRWE64U8A,WI072,"['Bayfield', 'Wisconsin']",White,female,69,(old),college,rural
https://search.library.wisc.edu/digital/AM6ICPETUGAKSC8O,SC021,"['Charleston', 'South Carolina']",White,male,58,(middle-aged),high school,small city
https://search.library.wisc.edu/digital/AM6VLDE4WN6TKB8R,IL122,"['Cairo', 'Illinois']",White,female,65,(old),some college,village
https://search.library.wisc.edu/digital/AMA2JAJKOXQPQC8C,NY156,"['Homer', 'New York']",White,male,20,(young),high school,village
https://search.library.wisc.edu/digital/AMA2YBSQESEFDR9A,OR013,"['Burns', 'Oregon']",White,male,75,(old),college,village
https://search.library.wisc.edu/digital/AEAYCNFDJYXCPF8X,NY223,"['Bath', 'New York']",White,female,76,(old),high school,village
https://search.library.wisc.edu/digital/AEB5GZZAQ6B2VK8Z,OH100,"['Columbus', 'Ohio']",White,female,16,(young),high school,large city
https://search.library.wisc.edu/digital/AEBEI7NKFBSNDM85,CA162,"['Red Bluff', 'California']",White,female,44,(middle-aged),high school,rural
https://search.library.wisc.edu/digital/AECH3E5YBZ2SQ58U,SC057,"['Irmo', 'South Carolina']",White,male,72,(old),some high school,rural
https://search.library.wisc.edu/digital/AECKXV5TUMLH2S82,CA158,"['Alturas', 'California']",White,male,78,(old),high school,village
https://search.library.wisc.edu/digital/AEDP7LJSEXFXJT8Q,HI001,"['Honolulu', 'Hawaii']",White,female,65,(old),college,large city
https://search.library.wisc.edu/digital/AEF5WAG3PHH3AL9C,GA031,"['Waycross', 'Georgia']",White,male,64,(old),college,rural
https://search.library.wisc.edu/digital/AEFIBIOCXP62769C,IN018,"['Vevay', 'Indiana']",White,male,82,(old),some high school,village
https://search.library.wisc.edu/digital/AEFL2SAEX6KVOU8C,LA036,"['Grand Isle', 'Louisiana']",White,male,11,(young),some schooling,village
https://search.library.wisc.edu/digital/AEFLLL24SOHNN38I,CA015,"['San Francisco', 'California']",White,male,65,(old),high school,urban
https://search.library.wisc.edu/digital/AEG4Q3LVYVRXGZ8L,NJ052,"['Chatsworth', 'New Jersey']",White,male,77,(old),5th grade,rural
https://search.library.wisc.edu/digital/AEG5HZNGLMNFTX82,AZ008,"['Snowflake', 'Arizona']",White,female,49,(middle-aged),high school,rural
https://search.library.wisc.edu/digital/AEHRMSRUNMFN7A8F,SC031,"['York', 'South Carolina']",White,female,69,(old),some high school,village
https://search.library.wisc.edu/digital/AEHTHBO3CYK3FJ8D,PA172,"['Philadelphia', 'Pennsylvania']",Black,female,49,(middle-aged),high school,urban
https://search.library.wisc.edu/digital/AEIIJBLXQPUPX58C,NY057,"['Brooklyn', 'New York']",White,male,76,(old),some schooling,urban
https://search.library.wisc.edu/digital/AEIZ5M574QYMQH8U,MA093,"['Boston (Beacon Hill)', 'Massachusetts']",White,female,90,(old),high school,urban
https://search.library.wisc.edu/digital/AEJ42UPIW5S6KU8H,NE006,"['Scottsbluff', 'Nebraska']",White,female,64,(old),college,small city
https://search.library.wisc.edu/digital/AEJ52E2QK6S6DE8G,KY016,"['Sawyer', 'Kentucky']",White,male,69,(old),grade school,rural
https://search.library.wisc.edu/digital/AEKHMHKJX4CW2Z9A,MI040,"['Chassell', 'Michigan']",White,male,59,(middle-aged),college,rural
https://search.library.wisc.edu/digital/A4A7WE5UG3BUEI9A,PA129,"['North East', 'Pennsylvania']",White,female,60,(old),college,village
