href,ID,Arthur the Rat,mp4 URL
https://search.library.wisc.edu/digital/ASHI6FIDIN4INS8Z,LA011,Yes,https://asset.library.wisc.edu/1711.dl/LJRVYGW4PF44S8W/M/b128-69526.mp4
https://search.library.wisc.edu/digital/ASHV53YKQVLDJC8H,MI100,No,None
https://search.library.wisc.edu/digital/ASHZ25NDDBPS658T,VA065,Yes,https://asset.library.wisc.edu/1711.dl/YUXFK7DTOJ2IM8V/M/b128-44879.mp4
https://search.library.wisc.edu/digital/ASIBQTYGL63OSR8K,NV008,Yes,https://asset.library.wisc.edu/1711.dl/2Y7FCSTFEDQ3Y8Y/M/b128-4f2ee.mp4
https://search.library.wisc.edu/digital/ASJ2MQPD2C6WIA9B,PA131,Yes,https://asset.library.wisc.edu/1711.dl/HGF53M7IZOFLE8V/M/b128-377ca.mp4
https://search.library.wisc.edu/digital/ASK62HT2ZS2RAT84,CA090,Yes,https://asset.library.wisc.edu/1711.dl/2CE73WIHE7DNO8E/M/b128-43d12.mp4
https://search.library.wisc.edu/digital/ASKF274E5CN5V69E,PA042,Yes,https://asset.library.wisc.edu/1711.dl/ZH5SUDEEOWJCX9C/M/b128-6eedd.mp4
https://search.library.wisc.edu/digital/ASKIHV474QGS4T8N,NY247,Yes,https://asset.library.wisc.edu/1711.dl/XVMRFCRA6GNK58A/M/b128-47867.mp4
https://search.library.wisc.edu/digital/ASKPZ7ZEORXKCD8A,TN010,Yes,https://asset.library.wisc.edu/1711.dl/43CWNUICA3SET8M/M/b128-77b09.mp4
https://search.library.wisc.edu/digital/ASLC7NDER4ORWL9C,IL085,Yes,https://asset.library.wisc.edu/1711.dl/O7ILNOY3CYCGD9A/M/b128-3e834.mp4
https://search.library.wisc.edu/digital/ASM3KLZG2HL3OI84,GA036,Yes,https://asset.library.wisc.edu/1711.dl/AFBQXXTRQWPEL8Y/M/b128-56206.mp4
https://search.library.wisc.edu/digital/ASNGS7R5PMUSAY8P,NY090,Yes,https://asset.library.wisc.edu/1711.dl/IDQLMUKRQ3SIT8E/M/b128-6e8ff.mp4
