href,ID,Arthur the Rat,mp4 URL
https://search.library.wisc.edu/digital/AM3TQCPL623CMB85,GA072,Yes,https://asset.library.wisc.edu/1711.dl/X2B3ZN3UL3YY783/M/b128-33629.mp4
https://search.library.wisc.edu/digital/AM4X3OC33J6Z2C8Y,MD003,Yes,https://asset.library.wisc.edu/1711.dl/Q5NNWA2RAYIFL8O/M/b128-9f290.mp4
https://search.library.wisc.edu/digital/AM53HN6SRWE64U8A,WI072,Yes,https://asset.library.wisc.edu/1711.dl/U7OWQXXQQJ6RO8E/M/b128-b4159.mp4
https://search.library.wisc.edu/digital/AM6ICPETUGAKSC8O,SC021,Yes,https://asset.library.wisc.edu/1711.dl/XHMYNRC5URTIA8Q/M/b128-3fa97.mp4
https://search.library.wisc.edu/digital/AM6VLDE4WN6TKB8R,IL122,Yes,https://asset.library.wisc.edu/1711.dl/LOPUWDBTYL5VD8S/M/b128-6a0d1.mp4
https://search.library.wisc.edu/digital/AMA2JAJKOXQPQC8C,NY156,No,None
https://search.library.wisc.edu/digital/AMA2YBSQESEFDR9A,OR013,Yes,https://asset.library.wisc.edu/1711.dl/N72BIOD4IA5GD85/M/b128-eef25.mp4
https://search.library.wisc.edu/digital/AEAYCNFDJYXCPF8X,NY223,Yes,https://asset.library.wisc.edu/1711.dl/UD66KWDTTKLAO8S/M/b128-c2579.mp4
https://search.library.wisc.edu/digital/AEB5GZZAQ6B2VK8Z,OH100,Yes,https://asset.library.wisc.edu/1711.dl/75HZWVUDAFKCM8Z/M/b128-89059.mp4
https://search.library.wisc.edu/digital/AEBEI7NKFBSNDM85,CA162,Yes,https://asset.library.wisc.edu/1711.dl/TARFQ3C254AKE8J/M/b128-cc734.mp4
https://search.library.wisc.edu/digital/AECH3E5YBZ2SQ58U,SC057,No,None
https://search.library.wisc.edu/digital/AECKXV5TUMLH2S82,CA158,Yes,https://asset.library.wisc.edu/1711.dl/L2L3H5FJH7ZDD8W/M/b128-6e675.mp4
https://search.library.wisc.edu/digital/AEDP7LJSEXFXJT8Q,HI001,Yes,https://asset.library.wisc.edu/1711.dl/QCQWVJX7QKX758J/M/b128-c7569.mp4
https://search.library.wisc.edu/digital/AEF5WAG3PHH3AL9C,GA031,Yes,https://asset.library.wisc.edu/1711.dl/ESFEZLTFMILYJ8C/M/b128-186ac.mp4
https://search.library.wisc.edu/digital/AEFIBIOCXP62769C,IN018,Yes,https://asset.library.wisc.edu/1711.dl/P22DLK2TNPQAQ9E/M/b128-05e25.mp4
https://search.library.wisc.edu/digital/AEFL2SAEX6KVOU8C,LA036,Yes,https://asset.library.wisc.edu/1711.dl/GYFQZEWS7UTHJ82/M/b128-a0f92.mp4
https://search.library.wisc.edu/digital/AEFLLL24SOHNN38I,CA015,No,None
https://search.library.wisc.edu/digital/AEG4Q3LVYVRXGZ8L,NJ052,No,None
https://search.library.wisc.edu/digital/AEG5HZNGLMNFTX82,AZ008,No,None
https://search.library.wisc.edu/digital/AEHRMSRUNMFN7A8F,SC031,Yes,https://asset.library.wisc.edu/1711.dl/WU4W7HZ5PVLF482/M/b128-0654b.mp4
https://search.library.wisc.edu/digital/AEHTHBO3CYK3FJ8D,PA172,Yes,https://asset.library.wisc.edu/1711.dl/JIDRNZFVTK3739D/M/b128-a556b.mp4
https://search.library.wisc.edu/digital/AEIIJBLXQPUPX58C,NY057,Yes,https://asset.library.wisc.edu/1711.dl/DVEYAFLEF77WL82/M/b128-8f59c.mp4
https://search.library.wisc.edu/digital/AEIZ5M574QYMQH8U,MA093,No,None
https://search.library.wisc.edu/digital/AEJ42UPIW5S6KU8H,NE006,Yes,https://asset.library.wisc.edu/1711.dl/WD4YG3UFCVCRD8A/M/b128-cd655.mp4
https://search.library.wisc.edu/digital/AEJ52E2QK6S6DE8G,KY016,Yes,https://asset.library.wisc.edu/1711.dl/Z6RK63LVRMWCN9D/M/b128-716e7.mp4
https://search.library.wisc.edu/digital/AEKHMHKJX4CW2Z9A,MI040,Yes,https://asset.library.wisc.edu/1711.dl/WZ2YIZS4BY5BC8X/M/b128-f8b3d.mp4
https://search.library.wisc.edu/digital/A4A7WE5UG3BUEI9A,PA129,Yes,https://asset.library.wisc.edu/1711.dl/BCU242OV42BF78P/M/b128-eb513.mp4
https://search.library.wisc.edu/digital/A4ANYU6PMZ4Z3M8R,OH084,Yes,https://asset.library.wisc.edu/1711.dl/KCVDSQMXBBOOV8K/M/b128-2c607.mp4
https://search.library.wisc.edu/digital/A4BCJUSZOZ7FNR8R,TX035,No,None
https://search.library.wisc.edu/digital/A4CLNNI22W7FTH8W,MD034,Yes,https://asset.library.wisc.edu/1711.dl/KJ3Q7LO3YUCCY8C/M/b128-f81ac.mp4
https://search.library.wisc.edu/digital/A4CNWF7TOLDMBU8B,RI016,Yes,https://asset.library.wisc.edu/1711.dl/U73QROQVYIU3Y8P/M/b128-c00fd.mp4
https://search.library.wisc.edu/digital/A4CUZAF24SMQSV8V,PA085,No,None
https://search.library.wisc.edu/digital/A4DAHYV5GOAWKP8V,MN033,Yes,https://asset.library.wisc.edu/1711.dl/OBQN3N6NVG4G28T/M/b128-c12c9.mp4
https://search.library.wisc.edu/digital/A4DTLGGKOTJDY38V,DC008,Yes,https://asset.library.wisc.edu/1711.dl/HKPQWIVIWNAQP9E/M/b128-df541.mp4
https://search.library.wisc.edu/digital/A4EZS2AOR336DK8C,MO001,Yes,https://asset.library.wisc.edu/1711.dl/SAPWN2PWX6HGK9B/M/b128-65ef0.mp4
https://search.library.wisc.edu/digital/A4FBZOJNXJOVET85,OH008,Yes,https://asset.library.wisc.edu/1711.dl/G6KGLLZH7EQME8Q/M/b128-85dcb.mp4
https://search.library.wisc.edu/digital/A4FLNHTH5ONUSZ8Q,IL118,Yes,https://asset.library.wisc.edu/1711.dl/NYLGY7NI5EIHM8Y/M/b128-a0452.mp4
https://search.library.wisc.edu/digital/A4FYWGJL5SBU2R9E,SC019,Yes,https://asset.library.wisc.edu/1711.dl/54HPLKY4VQ2EB8A/M/b128-ef45e.mp4
https://search.library.wisc.edu/digital/A4GBNFGXQXTMNV9C,VA046,Yes,https://asset.library.wisc.edu/1711.dl/VB4UQNIL6AE2C87/M/b128-fcaf9.mp4
https://search.library.wisc.edu/digital/A4HBCQXXHNCRXJ8V,MI024,Yes,https://asset.library.wisc.edu/1711.dl/ADWMFQHLCSYJM87/M/b128-0b211.mp4
https://search.library.wisc.edu/digital/A4IFWAM4M2OIHZ8N,KY003B,No,None
https://search.library.wisc.edu/digital/A4J244WDMRSSP68Y,MI108,No,None
https://search.library.wisc.edu/digital/AH674QVRU5BPJJ8M,KS004,Yes,https://asset.library.wisc.edu/1711.dl/ZIGLKMSQVHFTW8M/M/b128-f8d9d.mp4
https://search.library.wisc.edu/digital/AH6D5TIAROW6V38L,PA170,Yes,https://asset.library.wisc.edu/1711.dl/M3AL3A465R5W38L/M/b128-cd9bf.mp4
https://search.library.wisc.edu/digital/AH6IS7ROSET2LJ8R,OH082,Yes,https://asset.library.wisc.edu/1711.dl/PF4S5FFBZCRDD8S/M/b128-6a96a.mp4
