href,ID,Arthur the Rat,mp4 URL
https://search.library.wisc.edu/digital/AYBD2XRDI33YIM83,KS007,Yes,https://asset.library.wisc.edu/1711.dl/DYIFRXLCFRRLF8L/M/b128-b5b6d.mp4
https://search.library.wisc.edu/digital/AYBHJ3E4LFMW728P,NY037,Yes,https://asset.library.wisc.edu/1711.dl/IXMVN5OYOQ4IL8T/M/b128-b6fbd.mp4
https://search.library.wisc.edu/digital/AYCIXNSVAKPKXS85,NY199,Yes,https://asset.library.wisc.edu/1711.dl/WHVXG5SD6PC4Q8O/M/b128-e2d1c.mp4
https://search.library.wisc.edu/digital/AYE3CKWZWNC55H9A,OH001,Yes,https://asset.library.wisc.edu/1711.dl/A57GD2NYWYHNG8J/M/b128-157d6.mp4
https://search.library.wisc.edu/digital/AYEJUTR6TLYYVT8Y,VA104,Yes,https://asset.library.wisc.edu/1711.dl/4RFCG7QK4263L82/M/b128-0894c.mp4
https://search.library.wisc.edu/digital/AYGP2C6L7VVQ738A,TN046,Yes,https://asset.library.wisc.edu/1711.dl/V7DAL7QTLOJSJ8K/M/b128-4bc35.mp4
https://search.library.wisc.edu/digital/AYJABHZQSBALZO82,FL044,No,None
https://search.library.wisc.edu/digital/AYJNDFOBCH7DN28P,PA248,Yes,https://asset.library.wisc.edu/1711.dl/SF7AZ4TFRI5ZI82/M/b128-b0dad.mp4
https://search.library.wisc.edu/digital/AYKDWHMLFNDBS28E,PA202,Yes,https://asset.library.wisc.edu/1711.dl/2HCTP4GS2JGCZ9A/M/b128-60841.mp4
https://search.library.wisc.edu/digital/AWEMLA3WSDFUP28Q,MA096,No,None
https://search.library.wisc.edu/digital/AWEPHBP2HUYQLU8S,WV007,Yes,https://asset.library.wisc.edu/1711.dl/XDEXG7DE3EOTH8L/M/b128-906b2.mp4
https://search.library.wisc.edu/digital/AWFJXS7RDXG5LF8V,RI014,Yes,https://asset.library.wisc.edu/1711.dl/ZBJSZ6A3U5G7U8C/M/b128-b6a66.mp4
