href,ID,location,ethnicity,sex,age,age group,education,community type,accent,accent(southsplit)
https://search.library.wisc.edu/digital/ATUQ47ZFTOD4JU82,AK008,"['Palmer', 'Alaska']",White,female,72,(old),grade school,village,West,West
https://search.library.wisc.edu/digital/AT3D5COR2GKSMJ8L,AL001,"['Jasper', 'Alabama']",Black,female,61,(old),grade school,small city,South,Inland South
https://search.library.wisc.edu/digital/ARHNOA5UHW7HFD9B,AL002,"['Jasper', 'Alabama']",White,male,62,(old),college,small city,South,Inland South
https://search.library.wisc.edu/digital/AUBK2R7DE722NL8N,AL008,"['Tuscaloosa', 'Alabama']",White,female,20,(young),college,small city,South,Lowland South
https://search.library.wisc.edu/digital/A4WE5V54MO6CHH8Z,AL009,"['Mobile', 'Alabama']",White,female,22,(young),college,large city,South,Lowland South
https://search.library.wisc.edu/digital/AWXFRD525ZDVJ69E,AL010,"['Anniston', 'Alabama']",White,male,71,(old),high school,small city,South,Lowland South
https://search.library.wisc.edu/digital/APOT6IF6YHO5LK9B,AL012,"['Anniston', 'Alabama']",White,female,61,(old),college,small city,South,Lowland South
https://search.library.wisc.edu/digital/AXO7XZ74XV4KMW8M,AL014,"['Tuscaloosa', 'Alabama']",Black,female,39,(young),grade school,small city,South,Lowland South
https://search.library.wisc.edu/digital/A57ME4ZFXVP32D8L,AL015,"['Dothan', 'Alabama']",White,female,63,(old),grade school,small city,South,Lowland South
https://search.library.wisc.edu/digital/AW432KX7Q4SG6J9A,AL016,"['Dothan', 'Alabama']",White,male,71,(old),high school,rural,South,Lowland South
https://search.library.wisc.edu/digital/ADAW5VGG7R6D5M8P,AL018,"['Dothan', 'Alabama']",White,female,50,(middle-aged),high school,small city,South,Lowland South
https://search.library.wisc.edu/digital/AIO7YLMYSDEMNR8T,AL019,"['Dickinson', 'Alabama']",White,male,21,(young),college,rural,South,Lowland South
https://search.library.wisc.edu/digital/A6V3CA2IIDM4R38E,AL021,"['Mobile', 'Alabama']",White,female,72,(old),high school,large city,South,Lowland South
https://search.library.wisc.edu/digital/AMZ3AP427ZO74R8H,AL022,"['Mobile', 'Alabama']",White,male,48,(middle-aged),high school,large city,South,Lowland South
https://search.library.wisc.edu/digital/AHL6FMRGFIVUMM8B,AL024,"['Coatopa', 'Alabama']",Black,female,59,(middle-aged),grade school,rural,South,Lowland South
https://search.library.wisc.edu/digital/A2H4CXEIXKB3MD8S,AL025,"['Montgomery', 'Alabama']",White,female,55,(middle-aged),high school,large city,South,Lowland South
https://search.library.wisc.edu/digital/A4PHKAZX7NVJS48T,AL026,"['Montgomery', 'Alabama']",White,male,68,(old),grade school,large city,South,Lowland South
https://search.library.wisc.edu/digital/A6WIKDC26D5VJZ8O,AL027,"['Athens', 'Alabama']",White,female,64,(old),high school,small city,South,Lowland South
https://search.library.wisc.edu/digital/ACEOC56MGWY4QL8H,AL030,"['Bay Minette', 'Alabama']",White,female,62,(old),college,village,South,Lowland South
https://search.library.wisc.edu/digital/AK2N7PT4VZYHWR85,AL032,"['Cullman', 'Alabama']",White,male,66,(old),grade school,small city,South,Inland South
https://search.library.wisc.edu/digital/AVZPPZHD4XI63C8B,AL034,"['Russellville', 'Alabama']",White,female,77,(old),grade school,village,South,Inland South
https://search.library.wisc.edu/digital/AOBZVB4HVEYBCM9B,AL035,"['Russellville', 'Alabama']",White,male,72,(old),grade school,village,South,Inland South
https://search.library.wisc.edu/digital/AN4HSBPRN6D4N586,AL041,"['Birmingham', 'Alabama']",White,male,40,(middle-aged),college,large city,South,Lowland South
https://search.library.wisc.edu/digital/AEYKX64H5BJJNS85,AL042,"['Selma', 'Alabama']",White,female,53,(middle-aged),high school,small city,South,Lowland South
https://search.library.wisc.edu/digital/AIZ3H2AP4M3QXF8E,AL043,"['Selma', 'Alabama']",White,male,53,(middle-aged),high school,small city,South,Lowland South
https://search.library.wisc.edu/digital/AOCG7NU5W2W3I78N,AL047,"['Gadsden', 'Alabama']",White,male,81,(old),high school,small city,South,Inland South
https://search.library.wisc.edu/digital/AQDXPP4QQKK6F48Y,AL048,"['Gadsden', 'Alabama']",White,female,58,(middle-aged),high school,small city,South,Inland South
